post_id,text,label
726758237668659201,@USER @USER  පට්ට පට පට...,NOT
915618589855617026,"පරණ කෑල්ල අද වෙනකම් හිටියනම් අදට අවුරුදු 4යි. යාලු වෙලා. වෙලාවට ඊට පහු වෙනිදම බූට් එක කෑවෙ, නැත්තම් අවුරුදු 4ක් එක කෙල්ලෙක් ? ටෞකනවා",HOF
925001070430040065,යාළුවා කියලා හිතන් සර් ගේ ඔලුවට රෙද්ද දාලා නෙලන එක වෙනමම ආතල් එකක් බන්. #childhoodmemories  URL This Tweet is unavailable.,NOT
1397219745707986955,හොඳ මිතුරියක් කතා කලා. විස්තර කතාකරමින් ඉදලා මේ දවස්වල මොකො කරන්නේ ඇහුවා. මම උයපු හදපු කෑම බීම ජාති කිව්වා. බැඳලත් නැති එකෙ ඔච්චර උයන්න යන්න එපා තෝ ගෑනියෙක් වෙයි කියලා එයා කිව්ව.  ඒක ඇහු වෙලේ ඉදන් ඇග බිජ්ජට තියෙන සම්බන්ධය අඩුවෙනව වගෙ. මේ කොරෝනස්සෙ ඒකත් හැලිල යයිද මන්දා,HOF
950376113150222336,"ඔය බනින්නෙ.. හරකා, මී හරකා කිය කිය...",HOF
659668698542702592,කැතරින් මංගල හමුවෙයි:  ඇමරිකානු රාජ්‍ය දෙපාර්තමේන්තුවේ ලෝක කාන්තා කටයුතු පිළිබඳ තානාපතිවරිය වූ කැත... URL #lka #news,NOT
746759888664035328,රැ ඩැනියල් දවල් මිගෙල් is on Swarnawahini හම්මේ.. ගොන් ජෝක් තමා.. ඒත් කොච්චර බැලුවත් එපා වෙන්නේ නෑ..,HOF
715019979393863681,@USER @USER  අඩො.. බර්ත්ඩේ එක දවසේ පු* පලාගන්න ආසද :v,HOF
1207341992465719296,ඇත්ත කියනව ජෝං බාස්.... තමුසෙ නේද පිස්තෝලෙ කටට එබුවෙ.....,NOT
998584011000692736,@USER  @USER    අරූට ඉතින් එලොව පොල් පෙනුනලු...ලැජ්ජාවට හිනා වෙලා පොර සේපෙට පෙත්තෙ කොලේ ගලෝල ආයෙ කටින් තියාගත්තලු...සෙනික දියවෙලා පෙත්ත ගියාලු...අම්මටහුඩු පොරට හෙන හැපි...පස්සෙ ඇහුවලු මොකක්ද බ්‍රෝ ඒ පෙත්ත...හරිම වඳ රහක් ආවෙ කියල. අනික කිව්වලු ඕක බිව්වම වඳ තමා වෙන්නෙ මාතියා කියල,NOT
1465316484880625673,"@USER  @USER මේ වගේ දෙවල් ශෙයාර් කරල මිනිස්සු හරි හමන් දැනීමක් නැතුව මේක කරන්න ගිහින් වෙන අනතුරු වලට වගකියන්නේ උඹේ බාප්පද?? ගොන් වැඩ කරන්න එපා යකො. ඔච්චරම පු**අමාරුවනම් උඹ ට්‍රයි කරල බලපන්. අපේ ප්ලීස් මචන් ම්, එක පාරක් ට්‍රයි කරපන්.",HOF
1233270904244899840,@USER  @USER අනෙ බොල මං කියන්නැ තොට,NOT
1381901645831757824,නීතී නෑ රණ්ඩු නෑ කෝල් නෑ මැසේජ් නෑ  තනිකඩ ජීවීතේ පට්ට බං,NOT
1038768908562391052,@USER  @USER හිනා උනේ පකෝ වරෙන් ඒක හාන්න,HOF
1061991056999239680,@USER තොට හොඳ වැඩේ... සාදු සාදු...,NOT
1215499447830032385,@USER  @USER පෝය ලංඋනාම ඔහොම වෙනවා වැඩි ..මොකද පිස්සා හිතන්නෙ ඌට නෙවෙයි අනිත් එකාට පිස්සු කියලා ..,NOT
1199715303099256832,@USER System එක වෙනස් වෙමින් පවතී,NOT
